שם תחנה,מספר תחנה,תאריך,"כמות גשם יומית(מ""מ)",קוד גשם יומי()
ראש הנקרה                                         ,110021,22/12/2020,0.2,0
ראש צורים מאוישת                                  ,247211,22/12/2020,0,9
סער                                               ,110351,22/12/2020,1.1,0
אתר ספיר                                          ,320060,22/12/2020,0.2,5
שריד                                              ,220601,22/12/2020,4,5
שרונה מושב                                        ,214810,22/12/2020,2,0
שדה אילן                                          ,214101,22/12/2020,1.5,0
שדה יעקב                                          ,220102,22/12/2020,4,5
שער הגולן                                         ,320850,22/12/2020,0.7,0
שבי שומרון                                        ,241005,22/12/2020,1.5,5
שבי ציון                                          ,110521,22/12/2020,1.7,0
שפיים                                             ,133754,22/12/2020,0.2,5
שכניה                                             ,213160,22/12/2020,6.8,0
שמורת נחל מערות                                   ,121110,22/12/2020,0.2,0
תבור כדורי                                        ,215403,22/12/2020,1.9,0
תפן תעשיות                                        ,211465,22/12/2020,0.5,7
תל עדשים                                          ,220652,22/12/2020,2,5
תל קציר                                           ,320751,22/12/2020,1.2,0
תל יוסף                                           ,230457,22/12/2020,1,0
תל יוסף מאוישת                                    ,230403,22/12/2020,2.7,5
תמרת                                              ,215051,22/12/2020,4.5,0
טירת צבי                                          ,321850,22/12/2020,0,9
תובל                                              ,212696,22/12/2020,1.3,0
אום אל-פחם                                        ,122002,22/12/2020,2,0
אושה                                              ,111699,22/12/2020,5,0
יד חנה                                            ,132551,22/12/2020,3.4,0
יגור                                              ,120750,22/12/2020,7.1,0
יחד                                               ,213130,22/12/2020,9.2,0
יבנאל                                             ,215454,22/12/2020,2,0
יבנאל מאוישת                                      ,215452,22/12/2020,2,0
יחיעם                                             ,211350,22/12/2020,0.5,0
יראון                                             ,210650,22/12/2020,0.5,0
יודפת                                             ,213173,22/12/2020,6.2,0
יונתן                                             ,2493301,22/12/2020,0.1,0
יובלים                                            ,212980,22/12/2020,7.1,0
צפת הר כנען                                       ,211890,22/12/2020,0.1,0
צפת הר כנען מאוישת                                ,211900,22/12/2020,0.1,5
צמח                                               ,320703,22/12/2020,1.2,0
צמח מאוישת                                        ,320702,22/12/2020,1.2,0
זכרון יעקב                                        ,121702,22/12/2020,0.4,0
זכרון יעקב מאוישת                                 ,121710,22/12/2020,0.5,0
צור הדסה                                          ,246630,22/12/2020,0,9
עדנים                                             ,134731,23/12/2020,3.9,0
אפק                                               ,111145,23/12/2020,4.7,0
עפולה ניר העמק                                    ,221604,23/12/2020,7.7,0
עכו                                               ,110695,23/12/2020,2.2,7
אלון הגליל                                        ,213905,23/12/2020,1.5,0
אלון שבות                                         ,247206,23/12/2020,6.9,5
אלוני הבשן                                        ,2496501,23/12/2020,0.8,0
אלמגור                                            ,311650,23/12/2020,2.2,0
עלומים                                            ,144069,23/12/2020,3.4,0
אמירים                                            ,212352,23/12/2020,6.3,0
עמיעד                                             ,212670,23/12/2020,6.1,0
עמיעד קיבוץ                                       ,212651,23/12/2020,3.2,0
עמיקם                                             ,121801,23/12/2020,15.9,0
אמנון                                             ,311700,23/12/2020,3.7,0
ערד                                               ,251569,23/12/2020,4.9,0
ארגמן דרום                                        ,322656,23/12/2020,0.3,0
אריאל מכללה                                       ,241414,23/12/2020,2.9,0
אשלים                                             ,252731,23/12/2020,0.3,0
אשלים שדה חייל מאוישת                             ,252730,23/12/2020,0.3,0
אשדוד חווה                                        ,140150,23/12/2020,0.5,0
אשדוד נמל                                         ,140025,23/12/2020,2,0
אשדות יעקב מאוחד                                  ,321148,23/12/2020,3.3,0
עתלית                                             ,120920,23/12/2020,2.3,0
עתלית חב המלח                                     ,120900,23/12/2020,2.3,5
עבדת                                              ,253052,23/12/2020,0.1,0
אבני איתן                                         ,2494552,23/12/2020,5.9,0
איילת השחר                                        ,311206,23/12/2020,4,0
איילת השחר מאוישת                                 ,311204,23/12/2020,3.9,0
בניאס שמורה                                       ,310083,23/12/2020,5.6,0
ברעם - מטעים                                      ,210803,23/12/2020,0.2,0
ברקאי                                             ,130550,23/12/2020,7.2,5
באר שבע                                           ,251691,23/12/2020,2.8,0
באר טוביה                                         ,140801,23/12/2020,1.3,0
בארי                                              ,144249,23/12/2020,4.4,0
בארות יצחק                                        ,136580,23/12/2020,5,5
בארותיים                                          ,132430,23/12/2020,13,0
בית ג'ן                                           ,211941,23/12/2020,6,5
בית ג'מל                                          ,246551,23/12/2020,7.4,0
בית ג'מל מאוישת                                   ,246550,23/12/2020,7.4,0
בית ינאי                                          ,131645,23/12/2020,6.2,5
בן שמן                                            ,137251,23/12/2020,12.3,0
בני דרום                                          ,140101,23/12/2020,2.2,0
בני דרור                                          ,133200,23/12/2020,0.8,5
בני יהודה                                         ,2494661,23/12/2020,0.3,0
ברכה                                              ,241145,23/12/2020,18,0
בשור חווה                                         ,144873,23/12/2020,0.5,0
בשור חווה מאוישת                                  ,144872,23/12/2020,0.5,0
בית אלפא                                          ,230703,23/12/2020,6.5,0
בית אריה                                          ,241521,23/12/2020,5,5
בית דגן                                           ,136741,23/12/2020,5,0
בית דגן מאוישת                                    ,136739,23/12/2020,5,0
בית גוברין                                        ,247550,23/12/2020,6.7,0
בית הערבה                                         ,330210,23/12/2020,0.5,0
בית העמק                                          ,110600,23/12/2020,1,0
בית השיטה                                         ,230453,23/12/2020,6.2,0
בית חלקיה                                         ,139000,23/12/2020,8.5,0
בית לחם הגלילית                                   ,214252,23/12/2020,2.3,5
בית מאיר                                          ,243798,23/12/2020,7.4,5
בית ניר                                           ,247251,23/12/2020,6,0
בית אורן                                          ,120800,23/12/2020,6.1,0
בית קמה                                           ,250398,23/12/2020,8.4,0
בית קשת                                           ,214701,23/12/2020,1.3,0
בית רימון                                         ,213681,23/12/2020,7.2,0
בית יצחק                                          ,132475,23/12/2020,5.5,5
בית ציידה                                         ,311660,23/12/2020,1.7,0
בית זרע                                           ,320801,23/12/2020,1.9,0
בנימינה                                           ,130011,23/12/2020,3.6,0
בנימינה מערב                                      ,130020,23/12/2020,3.6,0
דפנה                                              ,310098,23/12/2020,2.3,0
דפנה מאוישת                                       ,310093,23/12/2020,2.9,0
דאלית אל-כרמל                                     ,121030,23/12/2020,5,0
דלייה                                             ,121500,23/12/2020,11.3,0
דברת                                              ,216050,23/12/2020,5.4,0
דגניה א'                                          ,320502,23/12/2020,2.8,0
דגניה ב'                                          ,320650,23/12/2020,2.4,0
דייר חנא                                          ,213054,23/12/2020,0.6,0
דייר חנא מאוישת                                   ,213052,23/12/2020,0.6,0
דורות                                             ,250156,23/12/2020,2.4,0
דורות מאוישת                                      ,250151,23/12/2020,2.5,0
חוות עדן                                          ,231001,23/12/2020,7.8,0
אפרתה                                             ,247220,23/12/2020,7,0
עיילבון                                           ,213201,23/12/2020,1.8,0
אלעזר                                             ,247215,23/12/2020,6.1,0
אל -רום                                           ,2489600,23/12/2020,2.4,0
עלי                                               ,241487,23/12/2020,3,0
אליאב                                             ,248010,23/12/2020,2.4,0
אילון                                             ,210753,23/12/2020,1.5,0
אילון מאוישת                                      ,210748,23/12/2020,1.6,0
אלקנה                                             ,241381,23/12/2020,2.2,0
עין החורש                                         ,131598,23/12/2020,4.8,0
עין החורש מאוישת                                  ,131599,23/12/2020,4.7,0
עין המפרץ                                         ,110951,23/12/2020,5.6,0
עין חרוד איחוד                                    ,230253,23/12/2020,6.2,0
עין חרוד מאוחד                                    ,230300,23/12/2020,5.5,0
עין השופט                                         ,121541,23/12/2020,10.8,0
עין השופט  קיבוץ                                  ,121550,23/12/2020,11.8,0
עין השופט מאוישת                                  ,121540,23/12/2020,11.7,0
עין כרמל                                          ,121056,23/12/2020,2.1,0
עין כרמל מאוישת                                   ,121051,23/12/2020,1.7,0
עין צורים                                         ,141350,23/12/2020,2.9,0
עינת                                              ,135496,23/12/2020,3.9,0
עינות צוקים                                       ,330455,23/12/2020,0.5,7
ארז                                               ,143160,23/12/2020,0.1,0
אשחר                                              ,212846,23/12/2020,2.5,0
עברון                                             ,110502,23/12/2020,1,0
אייל                                              ,133850,23/12/2020,2.7,0
פסוטה                                             ,210902,23/12/2020,0.5,7
געש                                               ,133649,23/12/2020,2.8,0
גדות                                              ,311251,23/12/2020,1.3,0
גלעד                                              ,121852,23/12/2020,20.6,0
גלעד מאוישת                                       ,121851,23/12/2020,21.1,5
גלאון                                             ,247449,23/12/2020,5,0
גמלא                                              ,2493350,23/12/2020,0.9,0
גמלא מאוישת                                       ,2493330,23/12/2020,0.9,7
גן השומרון                                        ,130850,23/12/2020,9.5,5
גן שלמה                                           ,138250,23/12/2020,1.1,0
גן שמואל                                          ,131002,23/12/2020,3.9,0
גת                                                ,142303,23/12/2020,1.6,0
גת מאוישת                                         ,142302,23/12/2020,1.6,0
גזית                                              ,216101,23/12/2020,3.8,0
גשר                                               ,321250,23/12/2020,2.8,0
גברעם                                             ,142898,23/12/2020,2,7
גבים                                              ,143750,23/12/2020,2,7
גבולות                                            ,252200,23/12/2020,0.2,7
גלגל                                              ,323403,23/12/2020,0.4,0
גלגל מאוישת                                       ,323402,23/12/2020,0.5,0
גיניגר                                            ,220550,23/12/2020,10.6,0
גינוסר                                            ,320099,23/12/2020,0.3,0
גיתית                                             ,241296,23/12/2020,3.8,5
גבעת ברנר                                         ,138401,23/12/2020,3.5,0
גבעת עוז                                          ,221751,23/12/2020,4.5,0
חדרה נמל                                          ,130970,23/12/2020,5.7,0
חדרה תחנת הכח                                     ,130981,23/12/2020,5.9,0
חפץ חיים                                          ,138946,23/12/2020,7.1,0
חפץ חיים מאוישת                                   ,138947,23/12/2020,4.4,0
הגושרים                                           ,310191,23/12/2020,1.7,0
חיפה נמל מאוישת                                   ,120202,23/12/2020,1.2,0
חיפה בתי זיקוק                                    ,111510,23/12/2020,3.2,0
חיפה טכניון                                       ,120530,23/12/2020,7,0
חיפה אוניברסיטה                                   ,120629,23/12/2020,5,0
חיפה אוניברסיטה מאוישת                            ,120630,23/12/2020,5,5
הכפר הירוק                                        ,134840,23/12/2020,1.5,0
חמדיה                                             ,230601,23/12/2020,2.8,0
חניתה                                             ,210502,23/12/2020,1.5,7
האון                                              ,320350,23/12/2020,1,5
הר חרשה                                           ,241960,23/12/2020,10.2,0
הררית                                             ,213119,23/12/2020,1.2,0
חרשים                                             ,212171,23/12/2020,1.9,0
חרשים מאוישת                                      ,212168,23/12/2020,2,0
הרדוף                                             ,213775,23/12/2020,1.8,0
חי בר כרמל                                        ,120570,23/12/2020,4.6,0
היוגב                                             ,221252,23/12/2020,6.8,0
חצור אשדוד                                        ,140249,23/12/2020,1,0
הזורעים                                           ,214202,23/12/2020,3,0
הזורע                                             ,220901,23/12/2020,13,0
הרצליה ב'                                         ,134110,23/12/2020,2.6,0
חורשים                                            ,134804,23/12/2020,1,0
חולה שמורה                                        ,311070,23/12/2020,2.4,0
חולדה                                             ,243150,23/12/2020,11.1,0
חוקוק                                             ,212950,23/12/2020,0.3,7
חורפיש                                            ,211251,23/12/2020,3,5
חורפיש מרכז                                       ,211253,23/12/2020,3.5,5
אכסאל                                             ,215701,23/12/2020,5,7
איתמר                                             ,241260,23/12/2020,5,0
איתמר מאוישת                                      ,241181,23/12/2020,9.4,0
ג'ת                                               ,131282,23/12/2020,3.2,0
ירושלים מרכז                                      ,244731,23/12/2020,6,0
ירושלים גבעת רם                                   ,245782,23/12/2020,5.4,0
ירושלים רמות                                      ,243530,23/12/2020,6.8,0
ירושלים סט. אן                                    ,244850,23/12/2020,5.4,0
כברי                                              ,211100,23/12/2020,3,0
כאוכב                                             ,213221,23/12/2020,9.2,5
כרמי צור                                          ,247680,23/12/2020,8.5,5
כרמל                                              ,248360,23/12/2020,1.5,7
כרמל מטעים                                        ,251013,23/12/2020,1.5,7
כרמייה                                            ,142802,23/12/2020,0.2,0
"כפר ביל""ו                                         ",138280,23/12/2020,1.8,5
כפר בלום                                          ,310552,23/12/2020,3.5,0
כפר עציון                                         ,247370,23/12/2020,7.6,0
כפר גדעון                                         ,220981,23/12/2020,8,0
כפר גלעדי                                         ,210160,23/12/2020,2.3,0
כפר גלעדי מאוישת                                  ,210151,23/12/2020,3.9,0
כפר גליקסון                                       ,122097,23/12/2020,7.5,0
כפר המכבי                                         ,111650,23/12/2020,2.2,0
כפר הנשיא                                         ,311501,23/12/2020,0.2,7
כפר הרואה                                         ,131502,23/12/2020,3,0
כפר חסידים                                        ,111800,23/12/2020,8,7
כפר הס                                            ,133500,23/12/2020,0.5,0
כפר חיטים                                         ,213451,23/12/2020,0.7,0
כפר מסריק                                         ,111001,23/12/2020,8.8,0
כפר מנחם                                          ,140852,23/12/2020,2,0
כפר נחום                                          ,311656,23/12/2020,0.5,0
כפר נחום מאוישת                                   ,311655,23/12/2020,0.6,5
כפר פינס                                          ,130502,23/12/2020,7.6,5
כפר ראש הנקרה                                     ,110050,23/12/2020,1,5
כפר רופין                                         ,321701,23/12/2020,9,0
כפר שמריהו                                        ,134101,23/12/2020,1,7
כפר סומיע                                         ,211472,23/12/2020,2.5,0
כפר סאלד                                          ,310351,23/12/2020,3,0
כפר תפוח                                          ,241361,23/12/2020,4,5
כפר ורבורג                                        ,140950,23/12/2020,1.8,0
כפר יחזקאל                                        ,230050,23/12/2020,5,0
כפר יהושע                                         ,220300,23/12/2020,4.2,0
"כרם מהר""ל                                         ",121142,23/12/2020,9.6,0
כנרת מושבה                                        ,320405,23/12/2020,0.2,0
כנרת קבוצה                                        ,320448,23/12/2020,2.5,0
כיסופים                                           ,144604,23/12/2020,7.1,0
כוכב הירדן                                        ,216255,23/12/2020,8.6,0
כוכב השחר                                         ,241861,23/12/2020,4,5
להב                                               ,248396,23/12/2020,4.2,0
להב מאוישת                                        ,248397,23/12/2020,4.4,0
להבות הבשן                                        ,310799,23/12/2020,5.2,0
להבות חביבה                                       ,131451,23/12/2020,1.5,0
לטרון מנזר                                        ,242951,23/12/2020,2.5,0
לביא                                              ,213598,23/12/2020,3.4,0
לימן                                              ,110200,23/12/2020,1.9,0
מעלה אדומים                                       ,245464,23/12/2020,2.4,0
מעלה אדומים מאוישת                                ,245463,23/12/2020,2.9,0
מעלה עמוס                                         ,247881,23/12/2020,4.7,0
מעלה גלבוע                                        ,240090,23/12/2020,4.1,0
מעלה גלבוע מאוישת                                 ,240082,23/12/2020,5,0
מעלה החמישה                                       ,243310,23/12/2020,6.3,0
מעש                                               ,136072,23/12/2020,2.9,0
מעברות                                            ,131801,23/12/2020,4.6,0
מעון                                              ,248370,23/12/2020,2.4,0
מעיין ברוך                                        ,310051,23/12/2020,3.6,0
מעיין צבי                                         ,121651,23/12/2020,11.4,5
מעיין צבי בריכות                                  ,121635,23/12/2020,11.9,5
מגן                                               ,144800,23/12/2020,0.2,0
מגל                                               ,131752,23/12/2020,3.9,0
מחניים                                            ,311450,23/12/2020,0.3,7
מלכייה                                            ,210453,23/12/2020,1.4,0
מסד                                               ,213212,23/12/2020,0.6,0
מסדה                                              ,320901,23/12/2020,3.7,0
משואות יצחק                                       ,141150,23/12/2020,4.7,0
מתת                                               ,211010,23/12/2020,0.8,0
מצובה                                             ,210700,23/12/2020,2,0
מי עמי                                            ,122502,23/12/2020,15.9,0
מפלסים                                            ,143702,23/12/2020,2,7
מגידו גן לאומי                                    ,221705,23/12/2020,13,0
מחולה                                             ,322102,23/12/2020,2.2,0
מאיר שפיה כפר הנוער                               ,121602,23/12/2020,12,7
מנורים                                            ,213881,23/12/2020,1,5
מירב                                              ,240212,23/12/2020,5.2,0
מרחביה מושב                                       ,221521,23/12/2020,7.7,0
מרום גולן פיכמן                                   ,2496028,23/12/2020,1.1,0
מירון צפון                                        ,211605,23/12/2020,3,5
משושים                                            ,2492950,23/12/2020,1.2,0
מיתר                                              ,251120,23/12/2020,0.7,0
מטולה                                             ,210062,23/12/2020,3.8,0
מצר                                               ,131050,23/12/2020,7,0
מצוקי דרגות                                       ,330810,23/12/2020,0.4,0
מבוא חורון                                        ,242772,23/12/2020,3.2,5
מעיליא                                            ,211152,23/12/2020,2.6,0
מגדל עוז                                          ,247412,23/12/2020,7.1,0
מגדלים                                            ,241430,23/12/2020,3,5
מכמנים                                            ,212840,23/12/2020,1.5,5
מקוה ישראל                                        ,136650,23/12/2020,4.9,0
משגב דב                                           ,138780,23/12/2020,8,0
משמר העמק                                         ,221202,23/12/2020,6.4,0
מצפה                                              ,213652,23/12/2020,0.8,0
מצפה יריחו                                        ,243331,23/12/2020,2.3,5
מזרע                                              ,220850,23/12/2020,6.4,0
מזרע מטעים                                        ,220530,23/12/2020,9.3,0
מולדת                                             ,221650,23/12/2020,10.4,0
מורשת                                             ,213240,23/12/2020,18.4,0
נחל עמוד עליון                                    ,211782,23/12/2020,2.2,5
נחל עוז                                           ,143952,23/12/2020,2,0
נחל רותם                                          ,322150,23/12/2020,2.9,0
נחל תנינים                                        ,121870,23/12/2020,3.8,5
נחלת יהודה                                        ,137020,23/12/2020,10,5
נהרייה שכונת רסקו                                 ,110390,23/12/2020,0.3,0
נחשולים מטעים                                     ,121360,23/12/2020,13.8,5
נחשון                                             ,243110,23/12/2020,2.7,0
נחשון מאוישת                                      ,243101,23/12/2020,5,0
נחשונים                                           ,136051,23/12/2020,3.5,0
נטף                                               ,242925,23/12/2020,5.3,0
נאות מרדכי                                        ,310603,23/12/2020,4.4,0
נגבה                                              ,141747,23/12/2020,1.3,0
נגבה מאוישת                                       ,141746,23/12/2020,1.2,0
נחלים                                             ,135949,23/12/2020,2.8,0
נחושה                                             ,247420,23/12/2020,8.2,0
נס ציונה                                          ,137502,23/12/2020,2,0
נטעים                                             ,137299,23/12/2020,0.2,5
נתיב הלה                                          ,247003,23/12/2020,6.9,0
נתיב הלה מאוישת                                   ,247002,23/12/2020,7.1,0
נבטים                                             ,252305,23/12/2020,0.1,0
"נווה אטי""ב                                        ",2488708,23/12/2020,7.2,0
נווה אור                                          ,321301,23/12/2020,5.5,0
נווה יער                                          ,220048,23/12/2020,7.3,0
נווה יער מאוישת                                   ,220049,23/12/2020,7.5,0
נווה צוף                                          ,241640,23/12/2020,5.9,0
נצר סרני                                          ,137549,23/12/2020,4.8,0
מבצר נמרוד                                        ,2488800,23/12/2020,7,0
ניר עם                                            ,143453,23/12/2020,0.5,7
ניר בנים                                          ,141853,23/12/2020,3.6,0
ניר דוד                                           ,230750,23/12/2020,11.8,0
ניר אליהו                                         ,134001,23/12/2020,0.3,0
ניר עציון                                         ,120870,23/12/2020,5.9,0
ניר עציון שדות                                    ,120860,23/12/2020,4.8,0
ניר גלים                                          ,140050,23/12/2020,1.5,0
ניר עוז                                           ,144750,23/12/2020,0.2,0
